user,typing_speed,avg_hold_time,avg_flight_time,total_keystrokes
aditya,3.93,101.26,198.12,20
aditya,1.96,107.79,480.65,20
aditya,1.74,109.0,474.82,11
aditya,1.81,83.64,518.64,12
aditya,2.71,91.37,297.63,20
aditya,2.14,92.05,398.89,20
megha,3.61,103.64,218.8,12
megha,0.82,125.17,1107.0,7
rakshith,1.73,83.44,503.0,10
rakshith,1.3,69.14,812.57,8
rakshith,1.77,91.06,576.0,18
rakshith,1.17,97.74,801.11,20
rakshith,1.52,95.67,636.89,10
rakshith,2.68,85.92,293.23,13
rakshith,1.76,90.12,482.56,18
rakshith,2.67,124.83,469.0,7
rakshith,2.16,92.0,491.0,9
rakshith,1.23,96.0,832.43,8
rakshith,1.5,143.18,627.92,12
rakshith,3.66,129.16,214.58,20
rakshith,6.63,135.88,147.11,20
rakshith,7.36,104.44,130.05,20
rakshith,5.0,84.11,126.42,20
rakshith,4.89,88.89,142.21,20
rakshith,5.31,90.37,135.0,20
rakshith,3.7,88.68,207.37,20
rakshith,3.8,83.05,194.11,20
urvi,2.8,89.43,279.12,8
urvi,1.18,100.67,754.7,10
urvi,5.54,96.26,102.79,20
urvi,4.72,97.89,164.42,20
urvi,2.7,96.39,354.42,20
urvi,3.87,119.83,249.11,20
urvi,1.94,112.3,412.09,11
urvi,1.51,91.57,584.0,8
urvi,4.94,103.94,291.05,20
urvi,5.59,166.35,265.58,20
